"symbol__gene_id","gene_id","module_color","module","A68ShootFlight","A68ShootFlight1","A68ShootFlight2","A68ShootFlight3","A68ShootGround","A68ShootGround1","A68ShootGround2","A68ShootGround3","D130ShootFlight","D130ShootFlight1","D130ShootFlight2","D130ShootFlight3","D130ShootGround","D130ShootGround1","D130ShootGround2","D130ShootGround3","WTShootFlight","WTShootFlight1","WTShootFlight2","WTShootFlight3","WTShootGround","WTShootGround1","WTShootGround2","WTShootGround3","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","description","entrezgene_id","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol","set"
"NA__GOHIR.1Z050092","GOHIR.1Z050092","turquoise","1",9.60860046857558,10.0323605678106,11.0211740022459,12.2223387189252,9.79662069954474,9.47195766766339,11.3108061324662,11.4579327196566,13.0056711736522,9.36954735112834,10.1896977993978,9.65356308514133,13.5175699246024,10.267402245445,9.7346978214564,13.5698870315574,9.47661857796102,11.132124491866,10.1242738458457,10.3896640325243,9.34945756890707,11.3783047108357,10.0244633692965,10.154765332345,NA,"scaffold_316",8881,NA,1,"protein_coding","ATP synthase alpha/beta family, nucleotide-binding domain (ATP-synt_ab) ",NA,2079,1563,2079,187,NA,5,NA,"List"
"NA__GOHIR.A01G019000","GOHIR.A01G019000","turquoise","1",5.78370077335357,6.4230501260292,4.19809144001549,5.52010872263996,5.23653786375587,7.04454172898865,3.26810619600039,5.62492874752734,5.72235032302237,5.97266423547777,3.4581686629732,7.79241461547553,4.9020771580067,3.76885131431433,6.84585337194788,4.79197152995748,2,2.94775024566816,4.34634180179301,6.52160500627141,6.22710691078053,5.87544624212007,3.51484206690889,5.06302706056376,NA,"A01",1795860,NA,2,"protein_coding","targeting protein for Xklp2 (TPX2)",NA,5065,2288,5065,218,367,18,NA,"List"
"NA__GOHIR.A01G025600","GOHIR.A01G025600","turquoise","1",6.11513162385805,5.77367468812604,4.2891790075307,6.17378836604476,8.1289142093803,9.7858623784214,3.4276825686727,7.94905234245133,6.70742417557718,7.04754068008463,4.34418043100655,6.81098494119641,6.11752396848423,5.37347622806229,8.88479987398205,5.10749186212175,7.16874691607974,3.62757903458087,5.36533939713346,7.74138411611055,8.38558595923822,5.90438015280216,5.51720315273531,6.78062896284242,NA,"A01",2453868,NA,1,"protein_coding","Cyclopropane-fatty-acyl-phospholipid synthase / Unsaturated-phospholipid methyltransferase",NA,8082,2598,8082,105,209,25,NA,"List"
"NA__GOHIR.A01G091700","GOHIR.A01G091700","turquoise","1",6.15495634824935,6.83548145254357,4.37485551897382,5.91893062320879,5.43689626457767,7.00797957363159,3.08865834514957,5.98196078064385,5.79983710923617,6.58405878868269,3.6035298674839,7.83935415061909,5.08701976247682,4.5399405204505,6.91874699855411,5.19899486902597,3.70317544760233,2.76268627686853,4.73856712609494,7.16219976487877,5.63885228199188,5.68848238742477,4.55493211186744,5.11295572100678,NA,"A01",14079620,NA,2,"protein_coding","Inner centromere protein, ARK binding region (INCENP_ARK-bind)",NA,7304,4916,7304,234,662,9,NA,"List"
"NA__GOHIR.A01G104400","GOHIR.A01G104400","turquoise","1",4.02567600338635,4.18572262978845,2.92385636079773,5.32354683492225,6.31881682204544,5.39201185147178,4.22094136269604,3.68006851716664,4.03395286269581,4.39951939632872,3.2965032520356,7.09905134399218,5.72992861454743,5.08593643868409,5.14146365633317,6.18688953299513,5.61833775063958,2,2,6.30964328913987,3.36051127607404,5.81577713494258,5.15301416211299,2.9129327379303,NA,"A01",19820074,NA,1,"protein_coding","SER/THR-RICH PROTEIN T10 IN DGCR REGION ",NA,1709,915,1709,8,380,5,NA,"List"
"NA__GOHIR.A01G125900","GOHIR.A01G125900","turquoise","1",6.60176838340397,6.30464878741252,5.13349080972967,5.58009721553172,5.38935445803233,7.4024042827513,3.26810619600039,7.18074092066391,6.39424747326908,6.86111400780803,4.88905360780104,8.08386003165887,3.60632031527194,3.65089734552499,7.34624119727538,4.03701925339726,3.70317544760233,3.51486701358104,6.20759147712397,6.81272368125586,6.07023588449234,5.58505223343036,5.62973685965887,5.89060394786677,NA,"A01",33826390,NA,3,"protein_coding","rhamnogalacturonan endolyase (RGL4, rhiE)",NA,4537,1614,4537,206,499,14,NA,"List"
"NA__GOHIR.A01G128300","GOHIR.A01G128300","turquoise","1",6.49203158162569,6.4343728768852,3.62920243250671,5.63769059518774,5.03502676529683,6.40833095901541,2,5.14941714476298,5.64046434415581,6.44935232660715,3.11440863460451,7.21311604616518,5.14374936918376,3.65089734552499,6.30854371454262,3.82359026799331,6.06980362212107,3.51486701358104,4.63694837679835,6.70637726543042,5.3626063222787,4.79625498081983,3.62755307871061,4.58566567762675,NA,"A01",38908721,NA,1,"protein_coding","BRCA1-associated RING domain protein 1 [EC:6.3.2.19] (BARD1)",NA,5626,3003,5626,149,448,14,NA,"List"
"NA__GOHIR.A01G155800","GOHIR.A01G155800","turquoise","1",5.71431476093904,6.31693587518369,2.37746796713408,4.05869976336691,5.12485542026683,6.18088716210179,2.88367650908263,2.70472824240449,4.60835154579687,6.44935232660715,3.4581686629732,6.02034031819629,4.024005446112,2.61830656417798,4.91076284324027,4.13295390112547,3.08955533621585,2.30125471211252,2,4.74549286663172,5.25737130666106,6.01464014197727,2.76267051994353,2,NA,"A01",95344022,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,2299,1071,2299,582,180,3,NA,"List"
"NA__GOHIR.A01G205200","GOHIR.A01G205200","turquoise","1",5.60354677580254,7.03460703400235,4.37485551897382,5.35822368125737,5.65360825567167,7.27741319662661,2.64466924019999,5.66129311027478,5.68198822676686,5.70343515884466,3.6035298674839,7.72863332732897,4.68989114648585,4.89158776264781,7.07839963186108,4.95834017740333,5.74512198312984,3.25899741217106,4.13895953530986,6.70637726543042,6.36013399933321,5.90438015280216,4.66466870886218,5.38090546125116,NA,"A01",116552817,NA,1,"protein_coding","125 KDA KINESIN-RELATED PROTEIN-RELATED",NA,6454,3033,6454,221,467,23,NA,"List"
"NA__GOHIR.A01G230066","GOHIR.A01G230066","turquoise","1",7.12060445713306,6.00390033190607,3.99660535351819,5.82288509697574,5.6127921354334,7.1903550698448,3.4276825686727,5.54932905039036,6.68717439463305,6.98803553263024,3.4581686629732,6.60073038314879,4.52883790385157,4.24656186090393,7.62747418764861,5.153968691874,6.69029727891869,2.55034042698888,4.28047194084839,7.48066374786591,5.8942027775277,5.47363029579888,4.76664513453441,4.84400072239688,NA,"A01",119543143,NA,1,"protein_coding","SEC14 RELATED PROTEIN ",NA,2222,1227,2222,405,348,4,NA,"List"
"NA__GOHIR.A02G017700","GOHIR.A02G017700","turquoise","1",4.69976310163822,4.60188193927195,2.37746796713408,4.66857905138723,3.71450969127155,5.39201185147178,2.35804782158611,3.5308263006631,3.89960345942123,5.44478404416971,3.11440863460451,5.87541272639574,3.0160479299037,2.34202686779743,5.46723660269767,3.08998308067961,5.74512198312984,2,2.29509157594312,5.60015864985375,4.78853023020224,4.09440234949898,2.94773176571744,2.66773722629564,NA,"A02",2163885,NA,2,"protein_coding","FAMILY NOT NAMED ",NA,3286,2122,3286,41,505,7,NA,"List"
"NA__GOHIR.A02G038302","GOHIR.A02G038302","turquoise","1",6.57265835338841,6.38853871674574,2.37746796713408,5.55041474322743,6.69626277848325,7.75658736015891,3.26810619600039,2.39497372632075,7.07781019971384,6.2810624491128,3.6035298674839,7.2294737666818,5.44399419616812,5.29699946661509,8.49855885004991,5.153968691874,6.41315524464084,2.55034042698888,6.11614228830546,7.07940283264133,7.15914273412437,4.59798327751573,3.73209302044089,2,NA,"A02",5049335,NA,1,"protein_coding",NA,NA,1153,708,1153,271,84,3,NA,"List"
"NA__GOHIR.A02G109700","GOHIR.A02G109700","turquoise","1",4.42363915428117,5.13343139942556,2.92385636079773,4.66857905138723,5.50539459974215,6.14766042325092,2,3.81530920512334,5.25662821927466,5.33443692107851,3.6035298674839,6.87477101029406,3.75938304448423,2.61830656417798,5.84928824783875,3.82359026799331,2,2.30125471211252,2.53995355894163,6.3302521064039,5.23906090715431,4.52533714066727,2.76267051994353,3.30535688571692,NA,"A02",58129968,NA,1,"protein_coding","G2/MITOTIC-SPECIFIC CYCLIN-B",NA,3515,1482,3515,26,630,10,NA,"List"
"NA__GOHIR.A02G132300","GOHIR.A02G132300","turquoise","1",8.29653140769358,9.00880575774458,5.69626055607103,8.56628950076437,8.71303560508004,10.5950422495003,7.27599463853631,7.62007546624848,8.41139359694369,7.78803891542229,5.5217495441966,9.76996532703734,8.54990019116592,7.37148760645183,11.5382913311294,7.52821547699126,8.58133746935371,4.66470103226311,7.89618505933189,10.1856666018131,9.26939646638704,7.22004863943431,8.10444471529388,8.05802650492379,NA,"A02",98967674,NA,1,"protein_coding","Inositol-3-phosphate synthase / Myo-inositol-1-phosphate synthase",NA,3153,1533,3153,103,253,10,NA,"List"
"NA__GOHIR.A02G135200","GOHIR.A02G135200","turquoise","1",5.04882520816236,4.64150122282358,2,4.87424874579787,5.06559534078385,7.17394601593569,2.64466924019999,2,4.56461993603543,5.12940601621973,2.36878579064934,3.93351522195273,4.024005446112,3.52243390118707,6.28115895280369,3.82359026799331,6.48758942006821,2,2.29509157594312,4.40043977551295,6.46626711069847,5.58505223343036,2.76267051994353,2.37216058689913,NA,"A02",99858116,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,2233,1614,2233,250,271,2,NA,"List"
"NA__GOHIR.A02G137100","GOHIR.A02G137100","turquoise","1",7.04490391677244,6.7654833508252,4.19809144001549,6.51848476408117,6.44043301264101,7.72314411511846,3.57135297758271,5.50998977714615,6.14981094155389,7.08210022692078,3.4581686629732,8.22378982936845,4.9020771580067,4.72645168142458,8.07294858015701,4.84958594126195,5.86165887801178,2,4.34634180179301,7.62943226712951,6.90995971748299,5.78499085958483,4.61084352918994,4.65471389218693,NA,"A02",100466816,NA,1,"protein_coding","ribonucleoside-diphosphate reductase subunit M1 (RRM1)",NA,5102,2424,5102,85,437,17,NA,"List"
"NA__GOHIR.A02G155100","GOHIR.A02G155100","turquoise","1",4.58782750339681,5.43342799118734,3.13503548238283,4.49246508104013,5.15359695929746,6.33642807467822,2.35804782158611,4.59423824429262,5.31057481280941,5.08465600951061,2.36878579064934,6.61740020324349,4.68989114648585,3.2250778495991,6.56848245204323,4.22290501778909,5.74512198312984,2,3.49349509290103,6.10958079079084,5.42872675905114,4.59798327751573,3.82956696539905,4.17998122591575,NA,"A02",105526621,NA,1,"protein_coding","microtubule-associated protein, RP/EB family (MAPRE)",NA,2305,990,2305,121,438,6,NA,"List"
"NA__GOHIR.A02G170700","GOHIR.A02G170700","turquoise","1",4.50806778601628,5.6234855930718,3.13503548238283,5.25158780078531,5.06559534078385,6.51640478024209,3.08865834514957,4.59423824429262,5.01807798723917,4.4708077499319,2.90596453624025,7.05077449134916,4.34751979078453,3.04973148124057,6.28115895280369,4.66934388547027,6.16360059215809,2.94775024566816,3.0941105701702,6.06108632218334,5.59633032379225,5.5117351305271,2.76267051994353,4.08310675211079,NA,"A02",107576591,NA,2,"protein_coding",NA,NA,2273,1246,2273,166,677,3,NA,"List"
"NA__GOHIR.A02G177100","GOHIR.A02G177100","turquoise","1",4.46647099297101,6.73833296385344,3.48251761949464,5.69307279685033,5.50539459974215,7.02637647234246,3.4276825686727,5.24835387453887,5.22887910877373,5.64298863708882,3.11440863460451,8.33631370000061,4.68989114648585,3.38140341602474,7.06240222573499,4.84958594126195,3.08955533621585,2.94775024566816,3.70912675476223,7.64596716418714,6.36858110758459,5.78499085958483,4.30671728749097,4.90195269954648,NA,"A02",107963786,NA,2,"protein_coding","cyclin B (CCNB)",NA,2762,1282,2762,220,463,9,NA,"List"
"NA__GOHIR.A03G059100","GOHIR.A03G059100","turquoise","1",6.6766403375652,7.41211751706355,5.13349080972967,6.2496314000311,5.92767712332717,7.77302268596419,4.22094136269604,5.54932905039036,6.46731569782143,7.43390094246856,3.96814831396196,8.28767253036943,5.57353139002674,4.66692074337652,7.53775611021715,5.44311060673184,5.32548353261474,3.62757903458087,5.26672486933768,7.80902108256818,6.68495306156931,6.21270401088607,5.19019289423873,4.95766640945834,NA,"A03",14701809,NA,1,"protein_coding","structural maintenance of chromosome 2 (SMC2)",NA,7692,3531,7692,95,378,21,NA,"List"
"NA__GOHIR.A03G070300","GOHIR.A03G070300","turquoise","1",7.12060445713306,6.25442644761133,4.10086297294918,6.47174411884624,6.0085694682249,7.35951551528774,3.08865834514957,5.73138243695562,6.29068410464307,7.52044970460777,3.8565437518839,8.00053194616127,4.68989114648585,3.76885131431433,7.93479335077682,5.48006325999608,5.86165887801178,2.55034042698888,4.13895953530986,8.03298068008459,6.58700704151165,5.39426155872513,4.61084352918994,4.5131459303441,NA,"A03",19814590,NA,1,"protein_coding","REPLICATION PROTEIN A 70 KDA DNA-BINDING SUBUNIT",NA,3436,1881,3436,111,230,12,NA,"List"
"NA__GOHIR.A03G138400","GOHIR.A03G138400","turquoise","1",6.4392513440135,7.55900532048033,3.76234000623057,5.25158780078531,3.78967829404287,5.33411478502018,3.08865834514957,4.9869958850626,5.68198822676686,4.07286220309567,5.69397641957484,8.16830459781842,3.60632031527194,3.76885131431433,5.7124707189952,3.42925339053519,2,3.25899741217106,4.96511669745649,7.35555597559193,4.78853023020224,4.44883807723355,5.11485192042985,4.08310675211079,NA,"A03",98813280,NA,1,"protein_coding","PECTIN LYASE-LIKE PROTEIN",NA,4238,1560,4238,192,334,7,NA,"List"
"NA__GOHIR.A03G158500","GOHIR.A03G158500","turquoise","1",5.58422948518319,6.30464878741252,4.2891790075307,7.16298229973269,7.2822110814997,6.35109819829235,5.19676783340593,4.15837159015423,6.17910754469486,5.84432089087916,5.75749495437015,8.77563196834895,7.21427200779651,6.53639479015295,6.645669209253,7.25729762721573,5.4793287676953,2.30125471211252,2.29509157594312,8.21576618328304,5.42872675905114,7.65405453919129,6.20286489222808,4.27075804691125,NA,"A03",106404926,NA,2,"protein_coding","FAMILY NOT NAMED ",NA,1420,345,1420,479,466,2,NA,"List"
"NA__GOHIR.A03G190800","GOHIR.A03G190800","turquoise","1",6.93482487425907,8.06800795989932,6.47464718512597,7.63544483126378,7.01095007364833,8.77616989450281,4.72983729279058,7.35736512093328,7.07781019971384,7.49502584958348,5.5217495441966,9.83109044114199,6.35226810237691,5.67486619581526,8.53958323188464,6.70674700419929,7.07529499396896,3.92089817793887,6.31018865371426,8.62316175386347,7.77574283034559,7.40351070883692,6.12820013118799,7.26208709024505,NA,"A03",111467372,NA,1,"protein_coding","kinesin family member 15 (KIF15)",NA,15628,9240,15628,150,240,38,NA,"List"
"NA__GOHIR.A03G212800","GOHIR.A03G212800","turquoise","1",5.30628100063992,6.65367451941456,3.48251761949464,4.87424874579787,5.09552962969677,6.51640478024209,2.88367650908263,5.58762403655308,5.33681003713604,5.70343515884466,2.36878579064934,7.33402756589896,5.08701976247682,4.24656186090393,6.43817394529037,4.90498759017388,5.61833775063958,2.30125471211252,3.49349509290103,6.55700818451929,5.83447613298244,5.39426155872513,3.51484206690889,5.16121409872378,NA,"A03",113232262,NA,2,"protein_coding",NA,NA,3466,1978,3466,84,341,11,NA,"List"
"NA__GOHIR.A03G218100","GOHIR.A03G218100","turquoise","1",5.69643400099333,5.13343139942556,3.48251761949464,5.69307279685033,5.34019244086205,6.73350084045353,3.08865834514957,4.34878326179343,5.01807798723917,5.78960625823773,2.66223396262617,7.41730401871768,4.44102548525816,3.38140341602474,7.30604612912162,4.95834017740333,4.73127487487708,2,2.93194882728233,6.88415530493826,5.82222824888659,4.44883807723355,3.51484206690889,4.35615958972902,NA,"A03",113635253,NA,2,"protein_coding","DNA replication licensing factor MCM6 (MCM6)",NA,5459,2448,5459,80,387,18,NA,"List"
"NA__GOHIR.A04G001800","GOHIR.A04G001800","turquoise","1",3.90630421297607,5.66252391230054,3.48251761949464,4.96704067370794,4.5208568821251,6.27620871990772,2.88367650908263,5.04319272097915,4.77111651735779,4.6036144730317,2.66223396262617,7.6778829321552,4.24753108094958,2.61830656417798,6.66698475826755,4.30757538124165,4.13233107114161,2.55034042698888,3.23987283799798,6.53941519020807,5.8098754943797,4.97054112529951,3.39257351351432,3.46766464473211,NA,"A04",115586,NA,1,"protein_coding",NA,NA,1308,669,1308,118,454,2,NA,"List"
"NA__GOHIR.A04G024708","GOHIR.A04G024708","turquoise","1",2.85469414206043,2.22530702499796,6.41522282319683,6.35640675946537,2.76732255093406,2,5.24042306089096,2.39497372632075,4.69202820991168,3.64990826082861,3.11440863460451,2.88436690910893,2,2,2.64050120205426,4.46332468073473,2,4.86191991165787,4.52762588059646,2,2,3.13044981286818,2.55032825666491,3.61354485408319,NA,"A04",5834851,NA,1,"protein_coding","(S)-norcoclaurine synthase / (S)-norlaudanosoline synthase",NA,1745,519,1745,72,772,2,NA,"List"
"NA__GOHIR.A04G047800","GOHIR.A04G047800","turquoise","1",5.18328852634989,7.61977721538759,3.13503548238283,3.97179550085875,4.76391944911368,6.18088716210179,3.08865834514957,2.70472824240449,3.29665710726744,5.33443692107851,3.8565437518839,3.87925704034284,4.44102548525816,4.40069586355624,3.85122450090502,4.95834017740333,3.08955533621585,2,2.93194882728233,5.16810650908824,5.79741605807101,5.72137444013409,3.25897507141247,3.86734593279447,NA,"A04",13767539,NA,1,"protein_coding","GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING ",NA,1321,663,1321,62,411,2,NA,"List"
"NA__GOHIR.A04G069500","GOHIR.A04G069500","turquoise","1",8.19512618749301,6.98156532740805,5.31785355954745,6.09373592109375,5.82421025192725,6.30663257556326,5.00760101468355,6.90556900234768,7.6273622304841,7.75271880253695,5.81833445195389,7.33402756589896,6.17308924470607,4.89158776264781,6.69837896792323,6.16436240017944,2,5.39517796763666,6.83099076997887,7.90143975113481,5.91741787227299,4.52533714066727,6.40614344702556,6.28837716810002,NA,"A04",64041105,NA,1,"protein_coding","Trans-zeatin O-beta-D-glucosyltransferase / Zeatin O-glucosyltransferase",NA,1718,1518,1718,26,174,1,NA,"List"
"NA__GOHIR.A05G003600","GOHIR.A05G003600","turquoise","1",2.97823253640824,6.72916809111205,2,2.31446064497117,5.54931756827351,6.43611783573526,2.88367650908263,3.5308263006631,2.62874677778667,2.34172063620157,3.4581686629732,2.50891254229054,4.76414179767502,3.8778860690021,6.71893521679984,3.42925339053519,2,2,2,3.43928074048115,5.20172782972463,4.97054112529951,3.73209302044089,2,NA,"A05",480725,NA,1,"protein_coding","ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN ",NA,1744,1152,1744,121,204,4,NA,"List"
"NA__GOHIR.A05G010200","GOHIR.A05G010200","turquoise","1",4.6634077418206,4.23835036169906,2,3.78050607158505,4.11603626567886,5.04029084407491,2,3.5308263006631,4.73211424680523,4.94142141702039,2,6.49645193184357,3.43506967371852,3.2250778495991,5.77270219404171,3.08998308067961,2,2.30125471211252,2.93194882728233,5.60015864985375,4.73726735597816,3.99029223081701,2.76267051994353,2.37216058689913,NA,"A05",1255891,NA,2,"protein_coding","CYCLINE ",NA,6686,1470,6686,246,304,12,NA,"List"
"NA__GOHIR.A05G016900","GOHIR.A05G016900","turquoise","1",8.27560878290426,7.02714800065047,4.10086297294918,6.00897920714444,6.79989702401675,7.46443760115749,3.82179741624117,5.73138243695562,6.7470904980934,8.24478793181605,3.6035298674839,7.93886789697339,5.35068706765694,5.1306916688614,8.43785186079906,5.00978988386631,7.49170207648166,2.76268627686853,4.52762588059646,7.94885542625102,7.12464949763012,5.43449165955551,4.81505177241008,4.35615958972902,NA,"A05",1786123,NA,1,"protein_coding","histone H3 (H3)",NA,716,411,716,76,229,1,NA,"List"
"NA__GOHIR.A05G020500","GOHIR.A05G020500","turquoise","1",5.46255679419731,6.12064411974728,3.62920243250671,5.05422333062148,5.52752323234878,7.26197021004126,3.26810619600039,5.92327723882916,5.55364943195687,5.64298863708882,3.8565437518839,7.49603471895309,4.96639521015207,4.66692074337652,7.38534667529838,5.28503881379777,2,3.92089817793887,4.83349675776482,6.96545161344679,5.84662091231169,5.02425216845621,3.82956696539905,5.77130011373839,NA,"A05",2071909,NA,1,"protein_coding","EUKARYOTIC TRANSLATION INITIATION FACTOR 2C ",NA,8414,2814,8414,111,326,22,NA,"List"
"NA__GOHIR.A05G021100","GOHIR.A05G021100","turquoise","1",6.07417627807685,6.25442644761133,4.19809144001549,5.55041474322743,5.38935445803233,6.37999836819685,3.08865834514957,4.43532545926247,5.68198822676686,6.22030123143021,2.36878579064934,6.93585590347822,4.9020771580067,3.65089734552499,6.53409491024214,4.38755079317136,4.73127487487708,2.76268627686853,3.37225007491313,6.37060704022051,5.61064401708077,4.52533714066727,3.82956696539905,4.95766640945834,NA,"A05",2172411,NA,1,"protein_coding","Plant protein of unknown function (DUF936) (DUF936)",NA,3533,2097,3533,66,270,4,NA,"List"
"NA__GOHIR.A05G033300","GOHIR.A05G033300","turquoise","1",4.54849876624776,6.91037161388869,2,4.14066522749712,4.80072758576051,6.29150084433075,2.88367650908263,2.95958948430318,4.3750940262865,5.17280961073452,2,5.95626273025565,4.34751979078453,3.8778860690021,5.90417246982279,3.93424794101844,2,2,2,5.25690219658722,5.23906090715431,5.17433797302729,2.55032825666491,3.86734593279447,NA,"A05",3435762,NA,2,"protein_coding","WRC (WRC) ",NA,2165,1124,2165,413,332,4,NA,"List"
